代码,公司,层级,产品或IP名称,提及次数,首次出现PDF页,首次上下文,说明
002602,世纪华通,核心,Dragonscapes Adventure,1,13,9 年开始加大自研产品 的投入，经历四年的打磨，在多个休闲品类上实现了突破，攀升至行业头部。如今，Century Games 已 经打造了《Family Farm Adventure 》《LiveTopia 》《FrozenCity 》《Whiteout Survival 》 《Dragonscapes Adventure》《Kingshot》《Truck Star》《Tasty Travels: Merge Game》等多款畅销 全球的游戏产品。 与此同时，点点互动以国内为主阵地，推出《无尽冬日》《奔奔王国》等热门产品，其中《无尽冬日》 长期稳居iOS 游戏畅销榜前列。 公司旗下盛趣游戏拥有超过25 年的游戏研发运营经验，是中国网络游戏产业的开创者。盛趣游戏不 断精进,程序初筛，重点公司产品另行人工复核
002602,世纪华通,核心,Extension Agreement,1,178,《传奇》软件著作权在中国大陆、香港地区独占性授权许可原盛大游戏使用， 有效期至2017 年9 月28 日。于2017 年6 月30 日，Actoz Soft 与蓝沙信息、Shengqu Games Limited（现 已更名为“Finplus Games Limited”）签署了《Extension Agreement》（以下简称“《续展协议》”），约定 将原《软件许可协议》项下授权有效期续展至2023 年9 月28 日，如蓝沙信息与Actoz Soft 在2023 年9 月28 日前未就《传奇》软件著作权授权许可事宜发生新的纠纷，则《软件许可协议》有效期自动无偿延 续至2025 年9 月28 日。 2017 年5 月，娱美德方向原《软件许可协议》中约定的争议解决,程序初筛，重点公司产品另行人工复核
002602,世纪华通,核心,Family Farm Adventure,1,13,、产品发行等方面拥有深厚的积累。公司旗下Century Games 不仅有逾十年的游戏海外发行运营经验，自主研发能力也在近年不断积累，从2019 年开始加大自研产品 的投入，经历四年的打磨，在多个休闲品类上实现了突破，攀升至行业头部。如今，Century Games 已 经打造了《Family Farm Adventure 》《LiveTopia 》《FrozenCity 》《Whiteout Survival 》 《Dragonscapes Adventure》《Kingshot》《Truck Star》《Tasty Travels: Merge Game》等多款畅销 全球的游戏产品。 与此同时，点点互动以国内为主阵地，推出《无尽冬日》《奔奔王国》等热门产品，其中《无尽冬,程序初筛，重点公司产品另行人工复核
002602,世纪华通,核心,FrozenCity,1,13,有逾十年的游戏海外发行运营经验，自主研发能力也在近年不断积累，从2019 年开始加大自研产品 的投入，经历四年的打磨，在多个休闲品类上实现了突破，攀升至行业头部。如今，Century Games 已 经打造了《Family Farm Adventure 》《LiveTopia 》《FrozenCity 》《Whiteout Survival 》 《Dragonscapes Adventure》《Kingshot》《Truck Star》《Tasty Travels: Merge Game》等多款畅销 全球的游戏产品。 与此同时，点点互动以国内为主阵地，推出《无尽冬日》《奔奔王国》等热门产品，其中《无尽冬日》 长期稳居iOS 游戏畅销榜前列。 公司旗,程序初筛，重点公司产品另行人工复核
002602,世纪华通,核心,LiveTopia,1,13,ury Games 不仅有逾十年的游戏海外发行运营经验，自主研发能力也在近年不断积累，从2019 年开始加大自研产品 的投入，经历四年的打磨，在多个休闲品类上实现了突破，攀升至行业头部。如今，Century Games 已 经打造了《Family Farm Adventure 》《LiveTopia 》《FrozenCity 》《Whiteout Survival 》 《Dragonscapes Adventure》《Kingshot》《Truck Star》《Tasty Travels: Merge Game》等多款畅销 全球的游戏产品。 与此同时，点点互动以国内为主阵地，推出《无尽冬日》《奔奔王国》等热门产品，其中《无尽冬日》 长期稳居iOS 游,程序初筛，重点公司产品另行人工复核
002602,世纪华通,核心,LoveLive！学园偶像祭,1,13,成功率及游戏生命周期等多个 维度，盛趣游戏均处于业内领先地位。盛趣游戏先后推出和运营了《热血传奇》《传奇世界》《冒险岛》 《风云》《永恒之塔》《龙之谷》《传奇3》《最终幻想14》《传奇永恒》等数十款精品电脑端游戏。进 入移动端游戏时代，盛趣游戏成功发行代理游戏《扩散性百万亚瑟王》《LoveLive！学园偶像祭》等， 并推出自研的《热血传奇手机版》《传奇新百区-盟重神兵》《传奇世界手游》《传奇世界3D》《龙之 谷世界》《血族》《神无月》《光明勇士》《辐射：避难所Online》《庆余年》等标杆性游戏作品。 （2）IP 储备优势 公司旗下拥有丰富的自主IP 储备，包括但不限于《热血传奇》《龙之谷》《传奇世界》《彩虹岛》 《英雄年代》等，以IP 为核心，从构建、发,程序初筛，重点公司产品另行人工复核
002602,世纪华通,核心,Truck Star,1,13,了突破，攀升至行业头部。如今，Century Games 已 经打造了《Family Farm Adventure 》《LiveTopia 》《FrozenCity 》《Whiteout Survival 》 《Dragonscapes Adventure》《Kingshot》《Truck Star》《Tasty Travels: Merge Game》等多款畅销 全球的游戏产品。 与此同时，点点互动以国内为主阵地，推出《无尽冬日》《奔奔王国》等热门产品，其中《无尽冬日》 长期稳居iOS 游戏畅销榜前列。 公司旗下盛趣游戏拥有超过25 年的游戏研发运营经验，是中国网络游戏产业的开创者。盛趣游戏不 断精进游戏品质，持续推出常青的优秀游戏作品。基于游,程序初筛，重点公司产品另行人工复核
002602,世纪华通,核心,传奇3,1,13,年的游戏研发运营经验，是中国网络游戏产业的开创者。盛趣游戏不 断精进游戏品质，持续推出常青的优秀游戏作品。基于游戏产品的数量、成功率及游戏生命周期等多个 维度，盛趣游戏均处于业内领先地位。盛趣游戏先后推出和运营了《热血传奇》《传奇世界》《冒险岛》 《风云》《永恒之塔》《龙之谷》《传奇3》《最终幻想14》《传奇永恒》等数十款精品电脑端游戏。进 入移动端游戏时代，盛趣游戏成功发行代理游戏《扩散性百万亚瑟王》《LoveLive！学园偶像祭》等， 并推出自研的《热血传奇手机版》《传奇新百区-盟重神兵》《传奇世界手游》《传奇世界3D》《龙之 谷世界》《血族》《神无月》《光明勇士》《辐射：避难所Online》《庆余年》等标杆性游戏作品。 （2）IP,程序初筛，重点公司产品另行人工复核
002602,世纪华通,核心,传奇世界3D,1,13,》《冒险岛》 《风云》《永恒之塔》《龙之谷》《传奇3》《最终幻想14》《传奇永恒》等数十款精品电脑端游戏。进 入移动端游戏时代，盛趣游戏成功发行代理游戏《扩散性百万亚瑟王》《LoveLive！学园偶像祭》等， 并推出自研的《热血传奇手机版》《传奇新百区-盟重神兵》《传奇世界手游》《传奇世界3D》《龙之 谷世界》《血族》《神无月》《光明勇士》《辐射：避难所Online》《庆余年》等标杆性游戏作品。 （2）IP 储备优势 公司旗下拥有丰富的自主IP 储备，包括但不限于《热血传奇》《龙之谷》《传奇世界》《彩虹岛》 《英雄年代》等，以IP 为核心，从构建、发展、成熟再到创新，围绕IP 深耕，持续推出优质游戏产品， 产品的生命周期长、用户粘性高，可持,程序初筛，重点公司产品另行人工复核
002602,世纪华通,核心,传奇世界手游,1,13,传奇》《传奇世界》《冒险岛》 《风云》《永恒之塔》《龙之谷》《传奇3》《最终幻想14》《传奇永恒》等数十款精品电脑端游戏。进 入移动端游戏时代，盛趣游戏成功发行代理游戏《扩散性百万亚瑟王》《LoveLive！学园偶像祭》等， 并推出自研的《热血传奇手机版》《传奇新百区-盟重神兵》《传奇世界手游》《传奇世界3D》《龙之 谷世界》《血族》《神无月》《光明勇士》《辐射：避难所Online》《庆余年》等标杆性游戏作品。 （2）IP 储备优势 公司旗下拥有丰富的自主IP 储备，包括但不限于《热血传奇》《龙之谷》《传奇世界》《彩虹岛》 《英雄年代》等，以IP 为核心，从构建、发展、成熟再到创新，围绕IP 深耕，持续推出优质游戏产品， 产品的生命周期长、,程序初筛，重点公司产品另行人工复核
002602,世纪华通,核心,传奇世界无双,1,12,命力；2025 年8 月上市的产品《奔奔王国》也表现不俗，排名稳步提 升。 作为公司业绩的“压舱石”，盛趣游戏聚焦核心IP 运营策略，深入挖掘私域流量的商业价值，落实“端 手并进”的打法，经营成效显著，为公司整体业绩提供有力支撑。上半年相继推出《传奇新百区合击-盟重 神兵》、《传奇世界无双》、全球放置RPG《幻兽征途：放置冒险》（Fantamon: Idle RPG）、《大航海 时代：起源》、韩国版《龙之谷世界》（Dragon Nest World）等新品。上述产品通过差异化的玩法设计、 高频的内容更新以及精细化的用户运营，有效吸引了大量老玩家回流，同时成功拓展了年轻用户群体。 《彩虹岛：经典》《永恒之塔：经典》《饥困荒野》等一批重点产品或新版,程序初筛，重点公司产品另行人工复核
002602,世纪华通,核心,传奇新百区-盟重神兵,1,13,戏先后推出和运营了《热血传奇》《传奇世界》《冒险岛》 《风云》《永恒之塔》《龙之谷》《传奇3》《最终幻想14》《传奇永恒》等数十款精品电脑端游戏。进 入移动端游戏时代，盛趣游戏成功发行代理游戏《扩散性百万亚瑟王》《LoveLive！学园偶像祭》等， 并推出自研的《热血传奇手机版》《传奇新百区-盟重神兵》《传奇世界手游》《传奇世界3D》《龙之 谷世界》《血族》《神无月》《光明勇士》《辐射：避难所Online》《庆余年》等标杆性游戏作品。 （2）IP 储备优势 公司旗下拥有丰富的自主IP 储备，包括但不限于《热血传奇》《龙之谷》《传奇世界》《彩虹岛》 《英雄年代》等，以IP 为核心，从构建、发展、成熟再到创新，围绕IP 深耕，持续推出优质游戏产品， 产,程序初筛，重点公司产品另行人工复核
002602,世纪华通,核心,传奇永恒,1,13,中国网络游戏产业的开创者。盛趣游戏不 断精进游戏品质，持续推出常青的优秀游戏作品。基于游戏产品的数量、成功率及游戏生命周期等多个 维度，盛趣游戏均处于业内领先地位。盛趣游戏先后推出和运营了《热血传奇》《传奇世界》《冒险岛》 《风云》《永恒之塔》《龙之谷》《传奇3》《最终幻想14》《传奇永恒》等数十款精品电脑端游戏。进 入移动端游戏时代，盛趣游戏成功发行代理游戏《扩散性百万亚瑟王》《LoveLive！学园偶像祭》等， 并推出自研的《热血传奇手机版》《传奇新百区-盟重神兵》《传奇世界手游》《传奇世界3D》《龙之 谷世界》《血族》《神无月》《光明勇士》《辐射：避难所Online》《庆余年》等标杆性游戏作品。 （2）IP 储备优势 公司旗下拥有,程序初筛，重点公司产品另行人工复核
002602,世纪华通,核心,光明勇士,1,13,3》《最终幻想14》《传奇永恒》等数十款精品电脑端游戏。进 入移动端游戏时代，盛趣游戏成功发行代理游戏《扩散性百万亚瑟王》《LoveLive！学园偶像祭》等， 并推出自研的《热血传奇手机版》《传奇新百区-盟重神兵》《传奇世界手游》《传奇世界3D》《龙之 谷世界》《血族》《神无月》《光明勇士》《辐射：避难所Online》《庆余年》等标杆性游戏作品。 （2）IP 储备优势 公司旗下拥有丰富的自主IP 储备，包括但不限于《热血传奇》《龙之谷》《传奇世界》《彩虹岛》 《英雄年代》等，以IP 为核心，从构建、发展、成熟再到创新，围绕IP 深耕，持续推出优质游戏产品， 产品的生命周期长、用户粘性高，可持续稳定为公司贡献收入。例如，“传奇”作为市场上,程序初筛，重点公司产品另行人工复核
002602,世纪华通,核心,幻兽征途：放置冒险,1,12,品《奔奔王国》也表现不俗，排名稳步提 升。 作为公司业绩的“压舱石”，盛趣游戏聚焦核心IP 运营策略，深入挖掘私域流量的商业价值，落实“端 手并进”的打法，经营成效显著，为公司整体业绩提供有力支撑。上半年相继推出《传奇新百区合击-盟重 神兵》、《传奇世界无双》、全球放置RPG《幻兽征途：放置冒险》（Fantamon: Idle RPG）、《大航海 时代：起源》、韩国版《龙之谷世界》（Dragon Nest World）等新品。上述产品通过差异化的玩法设计、 高频的内容更新以及精细化的用户运营，有效吸引了大量老玩家回流，同时成功拓展了年轻用户群体。 《彩虹岛：经典》《永恒之塔：经典》《饥困荒野》等一批重点产品或新版本正加速推进研发与上线筹 备工作。20,程序初筛，重点公司产品另行人工复核
002602,世纪华通,核心,庆余年,1,13,精品电脑端游戏。进 入移动端游戏时代，盛趣游戏成功发行代理游戏《扩散性百万亚瑟王》《LoveLive！学园偶像祭》等， 并推出自研的《热血传奇手机版》《传奇新百区-盟重神兵》《传奇世界手游》《传奇世界3D》《龙之 谷世界》《血族》《神无月》《光明勇士》《辐射：避难所Online》《庆余年》等标杆性游戏作品。 （2）IP 储备优势 公司旗下拥有丰富的自主IP 储备，包括但不限于《热血传奇》《龙之谷》《传奇世界》《彩虹岛》 《英雄年代》等，以IP 为核心，从构建、发展、成熟再到创新，围绕IP 深耕，持续推出优质游戏产品， 产品的生命周期长、用户粘性高，可持续稳定为公司贡献收入。例如，“传奇”作为市场上的品类级IP，,程序初筛，重点公司产品另行人工复核
002602,世纪华通,核心,彩虹岛,1,13,奇手机版》《传奇新百区-盟重神兵》《传奇世界手游》《传奇世界3D》《龙之 谷世界》《血族》《神无月》《光明勇士》《辐射：避难所Online》《庆余年》等标杆性游戏作品。 （2）IP 储备优势 公司旗下拥有丰富的自主IP 储备，包括但不限于《热血传奇》《龙之谷》《传奇世界》《彩虹岛》 《英雄年代》等，以IP 为核心，从构建、发展、成熟再到创新，围绕IP 深耕，持续推出优质游戏产品， 产品的生命周期长、用户粘性高，可持续稳定为公司贡献收入。例如，“传奇”作为市场上的品类级IP，,程序初筛，重点公司产品另行人工复核
002602,世纪华通,核心,彩虹岛：经典,1,12,G《幻兽征途：放置冒险》（Fantamon: Idle RPG）、《大航海 时代：起源》、韩国版《龙之谷世界》（Dragon Nest World）等新品。上述产品通过差异化的玩法设计、 高频的内容更新以及精细化的用户运营，有效吸引了大量老玩家回流，同时成功拓展了年轻用户群体。 《彩虹岛：经典》《永恒之塔：经典》《饥困荒野》等一批重点产品或新版本正加速推进研发与上线筹 备工作。2026 年7 月，盛趣游戏与韩国游戏网络巨头NC 在中国上海举办“翼启”新品发布会，双方签订合 作备忘录达成合作意向，将共同推动大型次世代奇幻MMORPG《AION2》（中文译名：《永恒之塔2》） 未来在中国大陆地区的上线运营。 过去两年，公司积极布局新一代人工智能生成,程序初筛，重点公司产品另行人工复核
002602,世纪华通,核心,扩散性百万亚瑟王,1,13,基于游戏产品的数量、成功率及游戏生命周期等多个 维度，盛趣游戏均处于业内领先地位。盛趣游戏先后推出和运营了《热血传奇》《传奇世界》《冒险岛》 《风云》《永恒之塔》《龙之谷》《传奇3》《最终幻想14》《传奇永恒》等数十款精品电脑端游戏。进 入移动端游戏时代，盛趣游戏成功发行代理游戏《扩散性百万亚瑟王》《LoveLive！学园偶像祭》等， 并推出自研的《热血传奇手机版》《传奇新百区-盟重神兵》《传奇世界手游》《传奇世界3D》《龙之 谷世界》《血族》《神无月》《光明勇士》《辐射：避难所Online》《庆余年》等标杆性游戏作品。 （2）IP 储备优势 公司旗下拥有丰富的自主IP 储备，包括但不限于《热血传奇》《龙之谷》《传奇世界》《彩虹岛》 《英雄年代,程序初筛，重点公司产品另行人工复核
002602,世纪华通,核心,永恒之塔,1,13,下盛趣游戏拥有超过25 年的游戏研发运营经验，是中国网络游戏产业的开创者。盛趣游戏不 断精进游戏品质，持续推出常青的优秀游戏作品。基于游戏产品的数量、成功率及游戏生命周期等多个 维度，盛趣游戏均处于业内领先地位。盛趣游戏先后推出和运营了《热血传奇》《传奇世界》《冒险岛》 《风云》《永恒之塔》《龙之谷》《传奇3》《最终幻想14》《传奇永恒》等数十款精品电脑端游戏。进 入移动端游戏时代，盛趣游戏成功发行代理游戏《扩散性百万亚瑟王》《LoveLive！学园偶像祭》等， 并推出自研的《热血传奇手机版》《传奇新百区-盟重神兵》《传奇世界手游》《传奇世界3D》《龙之 谷世界》《血族》《神无月》《光明勇士》《辐射：避难所Online》《庆余年》等标杆性游戏作,程序初筛，重点公司产品另行人工复核
002602,世纪华通,核心,永恒之塔2,1,12,彩虹岛：经典》《永恒之塔：经典》《饥困荒野》等一批重点产品或新版本正加速推进研发与上线筹 备工作。2026 年7 月，盛趣游戏与韩国游戏网络巨头NC 在中国上海举办“翼启”新品发布会，双方签订合 作备忘录达成合作意向，将共同推动大型次世代奇幻MMORPG《AION2》（中文译名：《永恒之塔2》） 未来在中国大陆地区的上线运营。 过去两年，公司积极布局新一代人工智能生成技术，在游戏研发、智能NPC、智能客服、智能测试等 AI 相关领域持续发力，通过对多元AI 技术的探索与应用，不仅显著提升了产品研发与运营效率，更在AI 测试、AI 工具研发等方面收获了一系列实质性成果。在技术落地层面，AI 已深度融入公司核心内容制作 流程，实现了提质增效。,程序初筛，重点公司产品另行人工复核
002602,世纪华通,核心,永恒之塔：经典,1,12,置冒险》（Fantamon: Idle RPG）、《大航海 时代：起源》、韩国版《龙之谷世界》（Dragon Nest World）等新品。上述产品通过差异化的玩法设计、 高频的内容更新以及精细化的用户运营，有效吸引了大量老玩家回流，同时成功拓展了年轻用户群体。 《彩虹岛：经典》《永恒之塔：经典》《饥困荒野》等一批重点产品或新版本正加速推进研发与上线筹 备工作。2026 年7 月，盛趣游戏与韩国游戏网络巨头NC 在中国上海举办“翼启”新品发布会，双方签订合 作备忘录达成合作意向，将共同推动大型次世代奇幻MMORPG《AION2》（中文译名：《永恒之塔2》） 未来在中国大陆地区的上线运营。 过去两年，公司积极布局新一代人工智能生成技术，在游戏研发、,程序初筛，重点公司产品另行人工复核
002602,世纪华通,核心,热血传奇手机版,1,13,内领先地位。盛趣游戏先后推出和运营了《热血传奇》《传奇世界》《冒险岛》 《风云》《永恒之塔》《龙之谷》《传奇3》《最终幻想14》《传奇永恒》等数十款精品电脑端游戏。进 入移动端游戏时代，盛趣游戏成功发行代理游戏《扩散性百万亚瑟王》《LoveLive！学园偶像祭》等， 并推出自研的《热血传奇手机版》《传奇新百区-盟重神兵》《传奇世界手游》《传奇世界3D》《龙之 谷世界》《血族》《神无月》《光明勇士》《辐射：避难所Online》《庆余年》等标杆性游戏作品。 （2）IP 储备优势 公司旗下拥有丰富的自主IP 储备，包括但不限于《热血传奇》《龙之谷》《传奇世界》《彩虹岛》 《英雄年代》等，以IP 为核心，从构建、发展、成熟再到创新，围绕IP 深耕，持,程序初筛，重点公司产品另行人工复核
002602,世纪华通,核心,神无月,1,13,谷》《传奇3》《最终幻想14》《传奇永恒》等数十款精品电脑端游戏。进 入移动端游戏时代，盛趣游戏成功发行代理游戏《扩散性百万亚瑟王》《LoveLive！学园偶像祭》等， 并推出自研的《热血传奇手机版》《传奇新百区-盟重神兵》《传奇世界手游》《传奇世界3D》《龙之 谷世界》《血族》《神无月》《光明勇士》《辐射：避难所Online》《庆余年》等标杆性游戏作品。 （2）IP 储备优势 公司旗下拥有丰富的自主IP 储备，包括但不限于《热血传奇》《龙之谷》《传奇世界》《彩虹岛》 《英雄年代》等，以IP 为核心，从构建、发展、成熟再到创新，围绕IP 深耕，持续推出优质游戏产品， 产品的生命周期长、用户粘性高，可持续稳定为公司贡献收入。例如，“传奇,程序初筛，重点公司产品另行人工复核
002602,世纪华通,核心,英雄年代,1,13,传奇新百区-盟重神兵》《传奇世界手游》《传奇世界3D》《龙之 谷世界》《血族》《神无月》《光明勇士》《辐射：避难所Online》《庆余年》等标杆性游戏作品。 （2）IP 储备优势 公司旗下拥有丰富的自主IP 储备，包括但不限于《热血传奇》《龙之谷》《传奇世界》《彩虹岛》 《英雄年代》等，以IP 为核心，从构建、发展、成熟再到创新，围绕IP 深耕，持续推出优质游戏产品， 产品的生命周期长、用户粘性高，可持续稳定为公司贡献收入。例如，“传奇”作为市场上的品类级IP，,程序初筛，重点公司产品另行人工复核
002602,世纪华通,核心,血族,1,13,》《龙之谷》《传奇3》《最终幻想14》《传奇永恒》等数十款精品电脑端游戏。进 入移动端游戏时代，盛趣游戏成功发行代理游戏《扩散性百万亚瑟王》《LoveLive！学园偶像祭》等， 并推出自研的《热血传奇手机版》《传奇新百区-盟重神兵》《传奇世界手游》《传奇世界3D》《龙之 谷世界》《血族》《神无月》《光明勇士》《辐射：避难所Online》《庆余年》等标杆性游戏作品。 （2）IP 储备优势 公司旗下拥有丰富的自主IP 储备，包括但不限于《热血传奇》《龙之谷》《传奇世界》《彩虹岛》 《英雄年代》等，以IP 为核心，从构建、发展、成熟再到创新，围绕IP 深耕，持续推出优质游戏产品， 产品的生命周期长、用户粘性高，可持续稳定为公司贡献收入。例,程序初筛，重点公司产品另行人工复核
002602,世纪华通,核心,辐射：避难所Online,1,13,想14》《传奇永恒》等数十款精品电脑端游戏。进 入移动端游戏时代，盛趣游戏成功发行代理游戏《扩散性百万亚瑟王》《LoveLive！学园偶像祭》等， 并推出自研的《热血传奇手机版》《传奇新百区-盟重神兵》《传奇世界手游》《传奇世界3D》《龙之 谷世界》《血族》《神无月》《光明勇士》《辐射：避难所Online》《庆余年》等标杆性游戏作品。 （2）IP 储备优势 公司旗下拥有丰富的自主IP 储备，包括但不限于《热血传奇》《龙之谷》《传奇世界》《彩虹岛》 《英雄年代》等，以IP 为核心，从构建、发展、成熟再到创新，围绕IP 深耕，持续推出优质游戏产品， 产品的生命周期长、用户粘性高，可持续稳定为公司贡献收入。例如，“传奇”作为市场上的品类级IP，,程序初筛，重点公司产品另行人工复核
002602,世纪华通,核心,风云,1,13,公司旗下盛趣游戏拥有超过25 年的游戏研发运营经验，是中国网络游戏产业的开创者。盛趣游戏不 断精进游戏品质，持续推出常青的优秀游戏作品。基于游戏产品的数量、成功率及游戏生命周期等多个 维度，盛趣游戏均处于业内领先地位。盛趣游戏先后推出和运营了《热血传奇》《传奇世界》《冒险岛》 《风云》《永恒之塔》《龙之谷》《传奇3》《最终幻想14》《传奇永恒》等数十款精品电脑端游戏。进 入移动端游戏时代，盛趣游戏成功发行代理游戏《扩散性百万亚瑟王》《LoveLive！学园偶像祭》等， 并推出自研的《热血传奇手机版》《传奇新百区-盟重神兵》《传奇世界手游》《传奇世界3D》《龙之 谷世界》《血族》《神无月》《光明勇士》《辐射：避难所Online》《庆余年》等,程序初筛，重点公司产品另行人工复核
002602,世纪华通,核心,饥困荒野,1,12,amon: Idle RPG）、《大航海 时代：起源》、韩国版《龙之谷世界》（Dragon Nest World）等新品。上述产品通过差异化的玩法设计、 高频的内容更新以及精细化的用户运营，有效吸引了大量老玩家回流，同时成功拓展了年轻用户群体。 《彩虹岛：经典》《永恒之塔：经典》《饥困荒野》等一批重点产品或新版本正加速推进研发与上线筹 备工作。2026 年7 月，盛趣游戏与韩国游戏网络巨头NC 在中国上海举办“翼启”新品发布会，双方签订合 作备忘录达成合作意向，将共同推动大型次世代奇幻MMORPG《AION2》（中文译名：《永恒之塔2》） 未来在中国大陆地区的上线运营。 过去两年，公司积极布局新一代人工智能生成技术，在游戏研发、智能NPC、,程序初筛，重点公司产品另行人工复核
002602,世纪华通,核心,龙之谷世界,1,12,运营策略，深入挖掘私域流量的商业价值，落实“端 手并进”的打法，经营成效显著，为公司整体业绩提供有力支撑。上半年相继推出《传奇新百区合击-盟重 神兵》、《传奇世界无双》、全球放置RPG《幻兽征途：放置冒险》（Fantamon: Idle RPG）、《大航海 时代：起源》、韩国版《龙之谷世界》（Dragon Nest World）等新品。上述产品通过差异化的玩法设计、 高频的内容更新以及精细化的用户运营，有效吸引了大量老玩家回流，同时成功拓展了年轻用户群体。 《彩虹岛：经典》《永恒之塔：经典》《饥困荒野》等一批重点产品或新版本正加速推进研发与上线筹 备工作。2026 年7 月，盛趣游戏与韩国游戏网络巨头NC 在中国上海举办“翼启”新品发布会，双方,程序初筛，重点公司产品另行人工复核
002624,完美世界,核心,异环,31,9,戏出海，确立了深 厚技术积累和自主创新基因。伴随移动网络的普及和硬件性能的提升，端游转手游的行业趋势全面爆 发，公司率先抓住机遇，成功推出《诛仙》手游、《完美世界》手游等多款产品，大获成功。近年来，为 满足日益升级与丰富多元的用户需求，公司积极开拓以《女神异闻录：夜幕魅影》《异环》为代表的潮流 创新品类，形成“经典品类与潮流品类双轨并进”的协同发展模式，构建起涵盖端游、手游、主机游戏、云 游戏以及小程序游戏的全平台研发与发行能力，并深入推进AI 等前沿技术革新与应用实践，推动游戏业 务健康发展。 完美世界电竞业务是公司业务矩阵中的长青板块。依托知名电竞产品《DOTA2（刀塔）》及《CS （反恐精英：全球攻势）》在中国大陆地区,程序初筛，重点公司产品另行人工复核
002624,完美世界,核心,诛仙,10,9,司从事的主要业务 完美世界是一家全球性的文化娱乐产业集团，公司聚焦网络游戏的研发、发行及运营业务，同时布 局电视剧、短剧制作等影视业务。 完美世界游戏业务前身创立于1997 年，公司早期依托自主研发的3D 游戏引擎，成功推出了《完美 世界经典版》《完美世界国际版》《诛仙》等多款大型MMORPG 端游，并积极推动游戏出海，确立了深 厚技术积累和自主创新基因。伴随移动网络的普及和硬件性能的提升，端游转手游的行业趋势全面爆 发，公司率先抓住机遇，成功推出《诛仙》手游、《完美世界》手游等多款产品，大获成功。近年来，为 满足日益升级与丰富多元的用户需求，公司积极开拓以《女神异闻录：夜幕魅影》《异环》为代表的潮流 创新品类，形成,程序初筛，重点公司产品另行人工复核
002624,完美世界,核心,梦幻新诛仙,4,9,司已形成“经典品类与潮流品类双轨并进”的协同发展模式。完美世界IP、诛仙IP 和武侠魔幻IP 三大核心矩阵构成经典品类基本盘，公司依托丰富的跨平台研发经验，推动IP 价值的长周 期转化。例如，诛仙IP 历经二十年长线运营，先后孵化出《诛仙》端游、《梦幻诛仙》端游、《诛仙》手 游、《梦幻新诛仙》手游、《诛仙世界》端游、《诛仙2》手游等多款精品，基于诛仙IP 的全新产品《梦幻 新诛仙：轻享》已定档2026 年9 月3 日公测，系列化产品形成了覆盖多端、代际传承的内容矩阵，实现 8 ===== 第 10 页 =====,程序初筛，重点公司产品另行人工复核
002624,完美世界,核心,CS（反恐精英：全球攻势）,3,10,升级产品。潮流品类方面， 公司以《幻塔》项目为发端，积累起内容向产品的全流程研发及发行经验，开拓了全新用户群体，并成 功实现经验复用，先后推出《女神异闻录：夜幕魅影》《异环》等精品游戏，进一步扩大潮流品类矩阵。 电竞业务方面，公司依托知名电竞产品《DOTA2（刀塔）》及《CS（反恐精英：全球攻势）》在中国 大陆地区的独家运营权，秉持“赛事带动产品、赛事带动出海”的发展路径，以金字塔型赛事体系持续升级 电竞生态。以《CS（反恐精英：全球攻势）》为例：塔基是公司打造的全民赛事PNL（完美世界CS 全国 联赛），设立有大众赛道、高校赛道、社区赛道，提供广泛的用户基础与人才来源；塔身是PWC（完美 世界CS 挑战赛），每年多次举行，为半职业战队提供低成本参赛通,程序初筛，重点公司产品另行人工复核
002624,完美世界,核心,DOTA2（刀塔）,3,9,流 创新品类，形成“经典品类与潮流品类双轨并进”的协同发展模式，构建起涵盖端游、手游、主机游戏、云 游戏以及小程序游戏的全平台研发与发行能力，并深入推进AI 等前沿技术革新与应用实践，推动游戏业 务健康发展。 完美世界电竞业务是公司业务矩阵中的长青板块。依托知名电竞产品《DOTA2（刀塔）》及《CS （反恐精英：全球攻势）》在中国大陆地区的独家运营权，公司秉持“赛事带动产品、赛事带动出海”的发 展路径，积极打造完整的电竞生态体系。从2019 年协助举办《DOTA2》2019 年国际邀请赛（Ti9），到 2024 年成功主办2024 反恐精英世界锦标赛（上海Major），公司已积累起富有全球竞争力的顶级赛事运营 与制作经验。同时，公司成立蒸汽平台,程序初筛，重点公司产品另行人工复核
002624,完美世界,核心,九个弹孔,3,10,换。 影视业务方面，观众喜好日趋多元，公司始终拒绝题材固化，坚持走精品化、多元化的并行路线。 在内容选题与剧本打磨层面，创作团队始终坚守优质内容底色，挑选有时代共鸣、有文化根脉、有现实 关照的题材，精准布局不同赛道优质剧集。现实职场题材《夜色正浓》聚焦当代职场成长，《九个弹孔》 勾勒生动立体、有血有肉、有勇有谋的革命将领形象，《云襄传之将进酒》深耕武侠江湖与权谋博弈， 《芳名三九》演绎坚韧女性在时代洪流中的挣扎与蜕变，多部题材差异化作品齐发，构建丰富完善的影 视内容矩阵。 3、全球视野开拓海外市场 多年来，公司持续深入“产品精品化、出海全球化”的国际化战略，不断夯实精品研发及制作能力，创,程序初筛，重点公司产品另行人工复核
